COUNTRY,ALPHA SUPPORT
Afghanistan,no
Albania,yes
Algeria,no
Andorra,yes
Angola,yes
Anguilla,yes
Antigua & Barbuda,yes
Argentina,no
Armenia,yes
Aruba,yes
Australia,yes
Austria,yes
Azerbaijan,no
Bahamas,yes
Bahrain,yes
Bangladesh,no
Barbados,yes
Belarus,yes
Belgium,no
Belize,yes
Benin,yes
Bermuda,yes
Bhutan,yes
Bolivia,yes
Bosnia & Herzegovina,yes
Botswana,yes
Brazil,no
Brunei Darussalam,yes
Bulgaria,yes
Burkina Faso,yes
Burundi,yes
Cambodia,yes
Cameroon,yes
Canada,no
Cape Verde,yes
Cayman Islands,no
Central African Republic,yes
Chad,yes
Chile,no
China*,no
Colombia,no
Comoros,yes
Congo,no
Congo D.R.,no
Cook Islands,yes
Costa Rica,no
Croatia,no
Cuba,yes
Cyprus,yes
Czech Republic,yes
Denmark,yes
Diego Garcia,no
Djibouti,yes
Dominica,yes
Dominican Republic,no
Ecuador,no
Egypt,yes
El Salvador,no
Equatorial Guinea,yes
Estonia,yes
Falkland Islands,yes
Faroe Islands,yes
Fiji,yes
Finland,yes
France,yes
French Guiana,no
French Polynesia,yes
Gabon,yes
Gambia,yes
Georgia,yes
Germany,yes
Ghana,no
Gibraltar,yes
Greece,yes
Greenland,yes
Grenada,yes
Guadeloupe,yes
Guam,no
Guatemala,no
Guernsey,yes
Guinea,yes
Guinea-Bissau,yes
Guyana,yes
Haiti,yes
Honduras,no
Hong Kong,yes
Hungary,no
Iceland,yes
India,yes
Indonesia,yes
Iran,no
Iraq,no
Ireland,yes
Isle of Man,yes
Israel,yes
Italy,yes
Cote dIvoire,yes
Jamaica,yes
Japan,partial
Jersey,yes
Jordan,yes
Kazakhstan,no
Kenya,no
Kuwait,no
Kyrgyzstan,no
Laos PDR,no
Latvia,yes
Lebanon,yes
Lesotho,yes
Liberia,yes
Libya,yes
Liechtenstein,yes
Lithuania,yes
Luxembourg,yes
Macau,yes
Macedonia,yes
Madagascar,yes
Malawi,yes
Malaysia,no
Maldives,yes
Mali,no
Malta,yes
Martinique,yes
Mauritania,yes
Mauritius,yes
Mayotte,yes
Mexico,no
Moldova,yes
Monaco,no
Mongolia,yes
Montenegro,yes
Montserrat,yes
Morocco,no
Mozambique,no
Myanmar,no
Namibia,no
Nauru,no
Nepal,no
Netherlands,yes
Netherlands Antilles,yes
New Caledonia,yes
New Zealand,no
Nicaragua,no
Niger,yes
Nigeria,yes
Norfolk Island,yes
Norway,yes
Oman,yes
Pakistan,no
Palestinian Territory,partial
Panama,no
Papua New Guinea,yes
Paraguay,yes
Peru,partial
Philippines,yes
Poland,yes
Portugal,yes
Puerto Rico,no
Qatar,no
Reunion,yes
Romania,no
Russia,yes
Rwanda,yes
Samoa,yes
San Marino,yes
Sao Tome & Principe,yes
Saudi Arabia,yes
Senegal,yes
Serbia,yes
Seychelles,yes
Sierra Leone,yes
Singapore,yes
Slovakia,yes
Slovenia,yes
Solomon Islands,yes
Somalia,yes
South Africa,no
South Korea,no
South Sudan,yes
Spain,yes
Sri Lanka,no
St Kitts & Nevis,yes
St Lucia,yes
St Vincent & the Grenadines,yes
Sudan,yes
Suriname,yes
Swaziland,yes
Sweden,yes
Switzerland,yes
Syria,no
Taiwan,no
Tajikistan,yes
Tanzania,yes
Thailand,yes
Timor-Leste,yes
Togo,yes
Tonga,yes
Trinidad & Tobago,yes
Tunisia,no
Turkey,no
Turkmenistan,yes
Turks & Caicos Islands,yes
Uganda,yes
Ukraine,yes
United Arab Emirates,yes
United Kingdom,yes
United States,no
Uruguay,no
Uzbekistan,yes
Vanuatu,yes
Venezuela,no
Vietnam,no
Virgin Islands British,yes
Yemen,yes
Zambia,yes
Zimbabwe,yes
